career_label,skills
position: senior .net software architect,communication
position: build/release manager,"sql, management, project management"
"executive, human resources","communication, management"
project engineer (installation methods),"communication, management"
senior/principal project engineer (installation methods),management
"senior executive, finance operations",management
"executive ii, corporate secretarial",
"executive, project cost control",management
project director ii,communication
document controller i,management
senior associate,"management, project management"
"engineer, planning",
sap senior engineer (bi/bw),management
"manager, group internal audit",management
(wfh) media buyer executive,
(wfh) accounts assistant,"excel, data analysis, communication, management"
mechanical/debugging engineer (automation equipment),
operator,
process technician,
intern – multiple departments,management
"senior staff nurse/staff nurse, radiology & nuclear medicine",
nuclear medicine radiographer / senior radiographer,
"senior officer, credit control",
mechanical design engineer,"excel, communication"
"sonographer, radiology & nuclear medicine",excel
"senior staff nurse, cancer centre","excel, communication, management"
"assistant manager/manager, pharmacy","communication, management"
"senior officer, business office",
"cssd technician, operating theatre","excel, communication"
software engineer (automation),"python, excel, communication, management"
"state registered nurse, cssd","excel, communication"
"nurse clinician, operating theatre","excel, communication"
"nurse manager, outpatient","excel, communication, management"
staff nurse / senior staff nurse,"excel, communication"
"state registered nurse, outpatient department (opd)","excel, communication"
cnc machinist,
qe engineer,"excel, communication, management, project management"
qe scanning operator,
management trainee (production / qa) fresh graduates are welcome,"excel, communication, management"
"senior executive, digital marketing and partnerships (chinese media)","excel, communication"
quality control operator,excel
training programme associate,"excel, communication, management"
hr specialist,"excel, communication"
retail designer,
product designer,
centre manager,management
quantity surveyor – manager / assistance manager / senior executive,management
retail planner,
senior executive / executive,management
manager – operations (penang & alor setar),management
personal assistant of finance; to take charge of personal financial and...,management
master planner,
interior draughtsperson,
retail tenancy fit out,
graphic designer,
project manager,
project architect,"management, project management"
interior designer,
3d visualiser,
design architect,"excel, communication, management"
technician / handyman,management
admin assistant,management
"assistant, production",
"technician, mechanical",management
"lead auditor, internal audit","communication, management"
"engineer, maintenance","excel, communication, management"
"executive, production","communication, management"
"executive, quality assurance",
"technician, electrical",management
"technician iii, packing",communication
"executive, sales & marketing","excel, communication"
"senior executive, it","sql, management"
farm veterinarian,"excel, communication, management"
"executive, marketing & promotions","communication, management, project management"
"specialist, farm",management
"manager, it audit","excel, communication, management"
"manager, sales",
"manager, technical farm","excel, data analysis, management, project management"
"executive, administration & compliance","excel, communication, management"
"manager, business & data analyst","excel, communication, management"
"manager, risk (marketing)","excel, statistics, communication, management"
"accountant, finance",management
"executive, marketing","excel, communication, management, project management"
company secretary,management
"engineer, production",communication
"executive, flour technical services",communication
"executive, r&d",
"senior executive, quality assurance","communication, management"
"senior manager, talent management","communication, management"
"technician ii, laboratory",
"manager, administration","excel, communication, management, aws"
"senior manager, human resource","excel, data analysis, communication, management, project management"
"executive, corporate affairs","excel, communication, management"
"executive, payroll","excel, data analysis, management"
"plant operator iii, premix",communication
"technician ii, mill",communication
"technician ii, mechanical",
plant operator iii,communication
driver,management
retail assistant,"excel, communication"
facilities technician,
shift technician,
customer service executive,"excel, communication, management"
planning executive,"statistics, management"
smt technician,communication
customer quality engineer,communication
production supervisor (smt),
chemical process engineer,excel
quality assurance officer,"excel, communication, management"
mechanical process engineer,"excel, communication"
sales admin,
protege trainee - civil engineer,communication
retail assistant-melaka mahkota parade,
retail assistant-aeon mall seremban2,
audit associates,
it system administrator,
senior storage and backup administrator,
director supply chain,
production executive,"excel, communication, management"
admin,"excel, communication"
quality support 1,management
logistics analyst,"excel, data analysis, communication, management, project management"
digital marketing executive (e-commerce & social media),"excel, communication, management"
quantity surveyor,
sales engineer (penang),management
sales engineer (johor bahru),management
sales engineer,
contract part time retail assistant-kl / selangor area,
senior process engineer,
assistant project manager,"excel, communication, management, project management, aws"
"assistant manager, automotive parts","excel, management"
sales executive - fresh graduate,
admin executive,"excel, management"
cad drafter,"excel, communication, management"
contract part time retail assistant-penang / ipoh area,
cost accountant,"excel, communication, management"
customer service executive,
sales executive (johor) - fresh graduate,
contract part time retail assistant-johor / malaka area,
software architect (payments domain),"excel, communication"
maintenance technician,
accounts receivable financial accountant,excel
"executive planner (s-site, jelapang)","excel, communication, management"
"production supervisor (s-site, jelapang)","excel, communication, management"
supervisor materials,"excel, management"
proces technician,
assistant engineer,
senior process engineer (wastewater treatment),management
sr cybersecurity engineer,python
patient liaison/customer service,"excel, communication, management"
process engineer,"excel, communication, management"
quantity serveyor,
junior/senior sales executive (property development),management
sr facilities engineer,
finance manager,"excel, communication, management, aws"
marketing executive,
customer service executives,communication
procurement specialist (korean speaker) - fresh grad welcomed,"excel, communication, management"
sales advisor,
storeman (immediate hiring!!),"communication, management"
staff nurse/clinic assistant,"communication, management"
science subject teacher (primary / secondary),communication
kindergarten teacher 幼教班老师,
junior google analytics marketing & sales executive,
accounts executive,aws
tax assistant,"communication, aws"
supervisor manufacturing,
medical sales representative,
intern - finance (sunway reit),"excel, communication"
business systems analyst,"python, sql, management"
sr qa engineer,"excel, communication, management"
account assistant,"excel, communication, management"
storekeeper,"communication, management"
account executive,
quality control (qc),"excel, management"
"restaurant management trainee - earn from rm 10,000 - 6 days work week in sg",management
"restaurant management trainee - earn from rm 10,000 - 6 days work week in sg",management
sales executive,excel
sales & marketing manager/ assistant manager,
"restaurant management trainee - earn from rm 10,000 - 6 days work week in sg",management
sales consultant,communication
trust and safety associate - korean/japanese speaker,"excel, communication, management"
ecommerce assistant / executive,"communication, management"
sales executive,excel
sales & marketing manager,"communication, management"
cloud administrator,"python, aws"
project coordinator executive / manager,"java, sql, excel, communication, management, aws, docker"
senior ui/ux designer (product designer),communication
compensation and benefits specialist,management
cloth fx artist,
video editor,excel
ue lighting artist,
content marketing lead,"excel, communication, management, project management"
account manager,management
technical director,"python, excel, communication"
project manager,"communication, management, project management"
3d generalist,"excel, communication"
3d senior lighting and compositing artist,"excel, communication"
art director - kl,"excel, management"
2d/game illustrator,"communication, management"
junior animator (cinematic),communication
it assistant,
cg supervisor,"excel, communication, management, project management"
grooming / hair fx artist,
hr sourcing consultant (basic + commission) - up to $3500,
2d fx artist,
art director,management
vfx artist (cinematic),"communication, management"
storyboard artist (game),"excel, communication"
cg generalist,"python, communication, management"
facility maintenance,"communication, management"
it technician,"excel, communication, management"
lighting artist,"excel, communication, management"
environment modeling artist (cinematic),"excel, management"
business development manager - datacenter (infrastructure and system...,management
senior environment modeling artist (cinematic),communication
character modeling artist (cinematic),"excel, communication, management"
senior character modeling artist (game),communication
buyer,management
qaqc engineer,management
" outlet staff, food prep",management
hr executive,aws
"health, safety & environment (hse), manager","excel, communication, management, aws"
quantity surveyor,"excel, management, project management"
"head, aftersales – southern",
qa engineer,"communication, management, project management"
forklift driver - logistic (warehouse),
sr hr business partner,"communication, management, project management"
senior company secretarial executive,"excel, communication, management"
accounting associate - accounts payable (fresh graduate opportunity),"excel, data analysis"
account executive,management
corporate it associate,"excel, management"
industrial hygiene consultant cum business development,communication
sales executive,
finance manager (2 years contract),management
"supply chain, senior officer","excel, data analysis, communication, management"
admin & accounts assistant / executive,management
bim modeler,"excel, communication"
site supervisor,communication
head of business unit - property developer,management
warehouse assistant,
beauty consultant cum spa manager,"excel, communication, management"
fresh graduate interior design,
sales coordinator,communication
sales executive (chemical),"communication, management"
accounts department - manager,excel
"executive - liability, underwriting (head office, kl)",management
hotel technician,
technician (mobile crane machinery),communication
export sales executive,communication
perunding kecantikan merangkap pengurus spa,
full time service crew (sunway velocity),
accounts cum admin assistant / executive (based in kota kinabalu),"excel, management"
live host,"excel, communication"
"full time service crew - (sungei wang, berjaya times square)",
admin cum operations executive – technical team,"excel, communication, management"
it support specialist (mandarin),communication
senior it administrator,
senior project manager,"communication, management"
full time service crew (the starling mall),
human resources executive,"communication, management"
senior sales & marketing manager - property developer,"excel, communication, management"
senior account executive,"sql, management"
project managers- csa/mep/design (data centre construction projects) - pmc,"excel, communication, management, project management"
business admin,"excel, communication, management"
life/medical underwriter specialist (mandarin speaking),
full time service crew (one utama shopping mall ),
trade marketing assistant - sea,"excel, management"
production control engineer,"excel, data analysis, communication"
data center engineer,"communication, management"
buyer,excel
marketing executive,
accounting and finance traineeship program,"excel, statistics, communication, management"
digital marketer (live ads manager),communication
data center facility engineer,"communication, management"
talent acquisition specialist 招聘专员,"excel, communication"
full time service crew(nu sentral ),
warehouse asset management specialist (data center),"excel, management"
admin live host,"excel, communication"
"operator jentera berat (subang jaya, selangor)",
traffic management officer,management
internship for business administration student,
"facilities management technician (data center, kulai)",management
assistant sales manager,"excel, communication, management"
packer & picker,
internship for environmental student,
accountant,"statistics, management"
rnd assistant engineer or rnd engineer,"communication, management"
hr executive ( id:686468),management
purchasing officer / executive - mnc manufacturing - 5 days work - tampoi,management
account executive,"communication, management"
warehouse assistant,management
intern - compliance,"sql, excel"
radiographer,communication
account cum admin assistant,"excel, communication"
it assistant,
"assistant manager, business development",management
production planner,
customer experience officer (general insurance),communication
wealth planner,
production operator,
internship in accountancy (diploma/degree),"excel, communication"
account manager,
warehouse clerk,excel
storekeeper cum forklift driver,
admin manager,excel
sales engineer,excel
human resources manager,"data analysis, management, aws"
finance executive,"sql, excel, communication"
technician,communication
compliance officer,"excel, management"
firmware engineer,python
internship for finance student,
sales consultant: student advisor,excel
software product manager,"excel, communication, management"
packer,
inspector of work (civil) - tnb grid projects,"excel, communication"
internship for import and export student,management
internship for welder,
site supervisor (based in ipoh),"excel, management"
assistant duty manager (hotel),"excel, communication, management"
shop assistant,"communication, management"
conveyancing lawyer / conveyancing clerk,
credit controller,management
personal assistant / project pa,"excel, communication"
senior executive - shipping (export),"excel, communication"
digital marketing lead,
"park attendant - jungle gym, sunway big box",
senior golang full stack developer,"java, sql, azure"
sales & marketing executive,communication
finance internship,
assistant manager - shipping,"excel, management"
"lecturer, it (phd holder)","excel, communication, management"
internship for welder,
cashier (kuching city mall),communication
senior vue.js 3 developer,"java, excel, communication, management, azure"
full stack developer (php) - malaysians only,
"assistant manager, logistics, warehouse, customs & compliance","communication, management"
administrative assistans,"excel, communication, management"
draftman/ drafter,excel
senior backend developer (node.js),sql
technical assistant,
sales executive (kedah),communication
sales consultant,management
"assistant manager, operations & marketing private brand (topvalu)","excel, data analysis, management"
application support level 1 (fresh graduate),"communication, management"
scrum master,"python, sql, excel, communication, management, project management"
application support level 2,"communication, management"
sales executive (central),communication
it project executive,"communication, management, project management"
senior project engineer,
hybrid website designer / ui/ux designer,"communication, management"
qc manager,"excel, communication, management"
client services analyst (based in labuan),excel
"senior executive, assistant merchandising",management
senior financial analyst,"excel, communication, management"
internship - creative designer,management
sales admin,excel
inbound customer service (basic up to rm4000 + allowance - kl) #bou29#,communication
telesales (work from home),"communication, management"
fp&a analyst (financial planning & analysis),excel
design executives,communication
account clerk,excel
engagement specialist (content creator),"data analysis, communication"
technician,management
planning manager,"excel, communication, management, project management"
supply chain specialist - mro scm,management
"senior executive, regulatory affairs",communication
mid-level role: data engineer (backend + data warehousing),"sql, aws, azure"
engineer (biogas / maintenance / project),
admin,"excel, communication, management"
network engineer,
department supervisor,management
mandarin speaking sales associate (hybrid) penang,management
accounts support executive,
project manager / assistant manager – electrical & data center,
material controller/planner,"statistics, management"
"outlet manager / assistant outlet manager @ east coast mall, kuantan","excel, communication"
eksekutif/eksekutif kanan bahagian khidmat perundangan.,
accounts executive,excel
sales advisor (proton),"excel, communication"
manager / assistant manager (sales & marketing),management
site supervisor,management
software developer,"java, management"
sales coordinator assistant,management
hr assistant,"excel, data analysis, communication, management, aws"
sales asssistant,"communication, management"
"assistant manager, student counselor","excel, communication, management"
front desk receptionist,
regional sales director cum malaysia country manager,"machine learning, management"
internship - finance & accounting,
digital marketing executive,
security architect (cloud network architecture),"aws, azure"
packing operator (packaging department) - full time & part time,
operations manager (offshore catering services),"excel, communication, management"
project sales & marketing manager,"management, project management"
decorator riasan by rumah dusun,management
accounts /admin assistant,communication
district manager/ district coach,"communication, management"
retail sales executive,"excel, management"
biopharmaceutical production associate – drug substance,"excel, management"
site administrator,"excel, management"
billing cum admin,excel
quality inspector,
site clerk,
senior accounts executive,"sql, excel, communication"
senior data engineer (talend etl pl/sql),"sql, excel, management"
junior software developer,"java, excel, communication"
customer service,excel
technical sales executive (food ingredients),
operation sales assistant & supervisor/ customer service(malay),"excel, management"
general worker / driver,
project architect,"excel, communication, management"
internship program (e-commerce),"excel, communication"
senior .net developer (mandarin),"java, excel"
site admin asistant,
executive – warehouse & logistic #mru5#,"communication, management"
cx specialist,"excel, data analysis, communication"
"assistant manager, contract administration",aws
"senior manager, eco world residence club","excel, communication, management"
stage manager,"excel, communication, management"
site engineer,
quantity surveyor (fresh graduate),
student counselor,"excel, communication, management"
application technical lead (mandarin),"java, sql, communication, management"
"lecturer , physiotheraphy",excel
retail manager (fashion),management
civil & structural draughtsperson,communication
supplier development manager,"excel, communication, management"
field conductor/ field supervisor,
junior accountant / accountant,"excel, management"
sales & marketing executive,"excel, communication"
marketing executive,communication
"senior executive, risk & governance","excel, communication, management"
finance manager,"excel, communication, management"
"admin clerk-(hq, tmn berkeley, klang)",
ai system technical lead,"excel, communication, management, aws, azure, docker, tensorflow, pytorch"
"senior executive, transfer pricing and tax compliance","excel, communication"
it technician,excel
"lecturer, diploma in business",
senior accounts executive,"excel, communication, management"
"senior analyst, automation tester","python, java, communication"
sales admin automotive (executive/supervisor),"excel, statistics"
purchasing executive (construction),management
lorry driver(gdl license),
accountant,"excel, management"
"intern, it business analyst (ai)","machine learning, communication"
account officer,excel
beauty therapist cum consultant,communication
"senior analyst, manual tester",excel
hr officer,"management, aws"
line cook,
qs quantity surveyor,excel
business analytics expert,
hr & admin executive,communication
java developer,"java, management, project management"
purchasing cum inventory executive,"excel, management, project management"
petrol station crew,
"senior executive, application support","communication, management"
supplier quality engineer,"excel, statistics, communication, management"
junior executive (sales),"communication, management"
farm supervisor,"communication, management"
"intern, sourcing & commercials",management
rm13/hour !! | mayang mall part time luxury retail assistant,communication
photo & retail sales associate (tourist attractions) up to rm2000,communication
assistant operation executive (local & export),"excel, communication"
internship for graphic designer,management
internal auditor (klang valley),"communication, management"
supplier quality engineer (sqe) - penang,"communication, management"
business development executive,"excel, communication"
"purchasing assistant-(hq, tmn berkeley, klang)",management
admin assistant,"excel, communication, management"
commercial executive (telco procurement),"excel, data analysis, communication, management"
marketing assistant,"excel, communication, management"
qa technician,
government liaison (land research),"excel, management"
content creator,
apac it channel senior specialist | tech sourcing & distribution | puchong,"communication, management"
"sales consultant, direct sales - credit card (johore bahru)",
purchasing executive,"excel, management"
site supervisor,"excel, communication, management, project management"
assistant marketing manager (property development),"excel, communication, management"
project engineer,"communication, management, project management"
project sales engineer,"excel, communication, management, project management"
technical operations assistant (logistics & machinery),communication
account executive / senior account executive,excel
admin assistant,
bim modeller,
desk side /desktop it services & operations/it support specialist,"excel, communication"
hr & admin assistant,"excel, communication, management"
senior machine learning engineer,"python, sql, data analysis, aws, azure, docker"
marketing project manager,"data analysis, communication, management, project management"
executive - hr (recruitment),"communication, management"
microsoft power automation specialist,"python, java, aws, azure"
sales administrator,"excel, communication"
project executive,management
human resource executive (mandarin speaker) - hybrid mode,"communication, management"
business analyst,"excel, data analysis, communication, management"
senior manager - construction,management
big data engineer,machine learning
content creator internship,
safety and health executive (osh coordinator),"excel, communication"
customer service administrator,communication
.net developer (wfh),"sql, excel, communication, azure"
digital content manager,"excel, communication"
account executive,
sales incentive pay analyst,"excel, data analysis, communication, management"
it audit manager,"excel, communication, management"
property marketing manager,management
accounts executive,
software development engineer,"excel, communication, aws"
property sales executive (shah alam),
kerani,
driver,"excel, management, aws"
executive assistant,management
"agm, communications & sustainability","communication, management"
lorry driver,"communication, aws"
bms engineer,"excel, management"
storekeeper,communication
account executive (oil palm plantation),"communication, management"
human resource manager,management
revenue & collection team lead,"sql, excel, communication, management"
content specialist (tiktok),
product manager / assistant product manager,"excel, management, project management"
internship for business studies / human resources students,"excel, management"
senior executive (audit/assurance),excel
finance executive,"excel, communication, management"
account executive,management
service advisor (subaru petaling jaya),
treasury executive,"excel, communication, management"
field engineer,
legal advisor,aws
marketing executive - walk in interview in november 2025,"excel, management"
engineering manager (m&e),"excel, communication, management, project management"
"customer service (urgent hiring, attractive offer package)-p6","excel, communication"
hrbp,"communication, management"
mechanic supervisor (oil palm plantation),
digital advertising consultant - shopee ads,"excel, communication"
trade marketing assistance manager,"excel, communication, management"
"executive, leasing","excel, data analysis, management"
civil engineer (planning),
reservations manager,"communication, management"
hr executive | up to rm4500,"excel, communication"
safety & health executive,"communication, management"
admin assistant,"excel, communication, management"
facility management: mechanical engineer,management
"executive, sales administration",
senior it officer,
warehouse assistant,communication
electrician,"excel, communication"
internship - legal,
quantity surveyor,
logistics officer / senior logistics officer,"communication, management"
forklift operator,
legal & company secretarial associate,"communication, management"
"global partnerships manager (senior, bd)","excel, communication, management"
hse assistant,
manager events & promotions,"communication, management"
mechanic helper (oil palm plantation workshop),communication
marketing & social media internship (kazakh language required),excel
"business development manager, contract logistics","excel, communication, management"
corporate sales manager (interior office fitout),communication
regional brand & trade executive – apac & oceania,"excel, communication"
data centre chargeman a0/a1/a4,management
polis bantuan - konstabel (auxiliary police),excel
"student recruitment executive (based in malaysia, jb)","communication, management"
plumber,"excel, communication"
project manager (software),"excel, communication, management, project management"
customer service officer – call centre (no sales related),
general worker,excel
admin cum account assistant,communication
marketing manager,"excel, communication, management"
sales - key account executive,management
intern data entry logistics,
video editor (tiktok short-form content),
foreign currency strategy,communication
technician,
rm13/hr luxury retail assistant (3 months part time contract)!!,communication
account executive,"excel, management"
maintenance technician ii,
nursing manager,"excel, communication, management"
"senior executive, health, safety, security & environment (seberang jaya, penang)","statistics, management"
quantity surveyor,excel
sales admin assistant,"excel, communication"
administration internship （based in kl）,"excel, communication, management"
internship - digital marketing,"excel, management, project management"
credit control assistant,
account / admin,"sql, excel, communication"
shift production supervisor,
technician executive,"communication, management"
sales executive,excel
clinic customer service,"excel, communication, management"
assistant quantity surveyor,management
commercial excellence data analyst - my/sg,"sql, excel, data analysis, statistics, management"
office clerk,excel
trainee accounting and administrative clerk,"excel, communication, management"
marketing manager,"excel, communication, management"
quantity surveyor (mep/id fit-out),management
finance (costing) and admin executive / sr. executive (sap),"excel, communication"
senior marketing officer,"excel, data analysis, communication, management"
admin assistant,communication
"internship, system development",communication
sales executive,
digital marketing & e-commerce executive,management
project manager,"excel, communication, management, project management"
"internship, ai & automation","python, sql, management"
receptionist cum admin clerk,excel
"junior/executive, sales team support (sales coordinator)","excel, communication, management"
warehouse coordinator,
sales consultant (kajang),
application engineer (industrial pumps),
maintenance technician,
senior sales engineer (based in penang),"excel, communication"
contract managers (data centre construction projects) international pmc- jb,"communication, management, project management"
assistant internal audit manager,"excel, communication, management"
tooling technician (die & mold),communication
finance manager (hybrid work model),"excel, communication"
smt production management supervisor,"excel, management"
assistant engineer cum drafter (civil & structural),
reporting and compliance analyst,"excel, communication, management"
2d artist,communication
design drafter,"excel, management"
internship: artificial intelligence/business/marketing/engineering,"python, java, sql, machine learning, communication, management"
positions,
mechanical/ electrical & instrumentation maintenance engineer/ technician,
technical engineer,communication
sales engineer/ executive,management
quantity surveyor/ project executive,
qa/ qc engineer/ executive,
pa to director,"excel, communication"
full-time fitness studio front desk,communication
client relationships service researcher,statistics
people operations officer,"management, aws"
senior account executive,
account executive,
personal assistant,"communication, management"
associate – labour & employment law,excel
associate/senior associate – competition practice,aws
corporate - m&a,"communication, management"
legal positions,"excel, communication"
junior software engineer – placement / routing / physical synthesis,"python, machine learning"
product engineer,"python, communication"
senior staff software engineer – placement / routing / physical synthesis,"python, machine learning"
costing and financial planning analysis specialist,"excel, communication, management"
ic design engineer,
inside sales representative,"excel, communication"
cad engineer (ic design),
domain & validation engineer,
physical design engineer,
software engineer – placement / routing / physical synthesis,"python, machine learning"
design verification engineer,python
"senior field applications engineer, north america","communication, aws"
senior test development engineer,"excel, data analysis, communication"
dft engineer,"python, excel, communication"
sales (japan),"excel, communication, management"
digital ip engineer,python
"regional director of sales, north america","communication, aws"
industrial trainee,
sales specialist (inbound & outbound),communication
digital content specialist,communication
web designer & platform expert,communication
interactive digital marketing specialist,"excel, communication, management, project management"
content marketing strategist,"communication, management"
full-stack web developer,"java, sql"
digital,"excel, communication"
digital marketing specialist,"excel, communication, management, project management"
sales executive,management
assistant land surveyor,communication
hr executive,"excel, communication, management"
"account manager (cloud - azure, it)","excel, communication, management, project management"
handyman (swimming pool),communication
education relations,communication
customer service support,
ai engineer,
cnc programmer,
"sales team lead (cloud - azure, it)","excel, communication, management"
hse coordinator (labuan),
scaffolding inspector (labuan),
cost & contract (labuan),
insulation supervisor (labuan),
instrument planner (labuan),
electrical planner (labuan),
scheduler (labuan),
logistic coordinator (labuan),
technical clerk (labuan),
rotating planner (labuan),
jit coordinator (labuan),
cleaner (labuan),
parking operation admin,"excel, communication, management"
project cost control (kuala lumpur f.t.),"excel, management, project management"
supply chain finance analyst (kl),"excel, communication, management, aws"
ap assurance analyst (kl),"excel, communication, management"
reporting finance analyst (kl),"excel, communication"
ap/ar finance analyst (kl),"excel, communication"
statutory analyst ii (kl),"excel, communication, management"
payroll accounting analyst (kl),excel
fresh graduate registered nurse,
post basic registered nurse,
registered nurse specialising in emergency care / intensive care /...,
general/colorectal surgeon,
neonatologist,
oncologist,
plastic surgeon,
cardiothoracic surgeon,
staff nurse,communication
dietitian,communication
regulatory & medical affairs executive,"management, aws"
state registered nurse & senior state registered nurse (icu),
internship/practical student (finance/marketing/business administration),management
front office officer,"communication, management"
clinical instructor (accident & emergency),management
technician,
marketing executive / senior executive (client engagement - hospital/gp),"excel, communication, management"
state registered nurse & senior state registered nurse (medical surgical/...,
specialist nurse oncology,"excel, communication"
state registered nurse (post basic in perioperative nursing),
islamic wealth planner,
quality manager,management
admin assistant,
sales operations executive,excel
video editor | skintific (instagram / tiktok),communication
nursing personnel(post partum care),
staff product engineer,"excel, communication, management"
marketing & communications executive,communication
software developer,management
software developer/l3 support,"sql, excel, communication, management"
content specialist | skintific (tiktok ads),"excel, communication"
cashier,
"content management executive (tv & led screen content, planning, scheduling)","communication, management"
华文老师,
graphic design intern (january intake),
marketing internship,
employee experience executive (hr executive),
talent & excitement manager (hr manager),
settlement officer,
regional brand manager,
part time luxury retail assistant | rm12/hour | sunway pyramid,communication
shipping sales executives,management
sales executive (melaka/ns) urgent,
junior tester - manual uat,
parts localization manager (parts development),"excel, communication, management"
finance executive/ contracts executive,"excel, communication, management"
accounts executive (会计员),management
digital marketing specialist (vietnam & thailand),"communication, management"
assistant site engineer,excel
customer care assistant (property developer),"excel, communication, management"
early childhood educator / infant baby caretaker (2months-3 y/o),
financial accountant,excel
marketing exec (creative agency),"excel, management"
account assistant,management
senior illustrator,
senior motion graphic designer,
resident doctor,communication
kindergarten teacher (mandarin speaker) - semenyih eco majestic,
medical laboratory technician (mlt),
admin assistant,"excel, communication, management"
safety officer,management
hospital technician / veterinary nurse,excel
warehouse assistant,"excel, communication, management"
logistics driver,
warehouse executive,"excel, communication, management"
accounts executive,"sql, excel, communication, management"
business development executive,"sql, management"
human resource executive,"communication, management, aws"
senior contract administrator,management
"senior executive/assistant manager. operations support (billing, collections,...","excel, communication, management"
purchaser and admin executive,management
talent creator,"excel, communication, management, aws"
accountexecutive,excel
cleaner,
it operation administrator manager,"excel, communication, management, project management"
it resident technician,"excel, communication, management"
it servicetechnician,"excel, communication"
it servicehelpdesk,"excel, communication"
it technician (preventive maintenance),"excel, communication"
it technical service manager,"excel, communication, management"
it project manager,"excel, communication, management, project management"
talent management executive,excel
"senior executive, debt markets","excel, communication, management, aws"
in house office it executive,"excel, communication, management"
process engineer,"excel, data analysis, communication"
accounts executive,"sql, excel, communication, management"
editor (science/maths/bm/social science/english/bc),
supply chain business intelligence developer,"sql, excel, communication, management"
part-time retail associate (johor premium outlet),"excel, management"
store assistant (unit implant),
education counsellor,communication
finance & accounting executive,"sql, excel, communication, management"
medical officer,
account executive,management
finance manager ( internal finance & operations ),"sql, management"
corporate recruiter,"communication, aws"
capital raising specialist,"excel, management"
account executive,"sql, excel, management"
investment analyst intern,"excel, communication, management"
investment associate,"excel, communication"
investor coverage associate,"excel, management"
investment & client coverage manager,"excel, communication, management"
technician (fresh graduate),
"customer service executive (order management, kota kemuning)(final year student)","communication, management"
qa assistant manager (qms hod role),management
commodity manager - penang-based,"excel, communication, management, project management"
sales & client relationship executive- wine & beverages,"excel, communication"
executive secretary,"excel, communication, management"
quantity surveyor,"excel, data analysis, communication, management, project management"
interior designer,communication
finance executive,management
graphic designer,"excel, communication"
human resource executive,"excel, communication, management"
newbuilding project manager,"excel, communication, management"
customer service & operations associate,"excel, communication"
wintel engineer,"data analysis, communication, management"
sales assistant-live host (miri),"excel, communication"
associate vice president - clm,management
senior coordinator - sales operations,"excel, data analysis, management"
msd 365 developer,"java, sql, excel, communication, azure"
senior finance executive,"management, aws"
hr assistant (mandarin speaker),"excel, communication, management"
content creator,excel
operator manufacturing,
lecturer - psychology,excel
csa project managers/engineers (mixed development construction) pmc,"communication, management, project management"
illustrator,
full time:digital marketing specialists,"communication, management, project management"
3d animator,"excel, management"
full time:design engineering magicians,
full time:junior multi-disciplinary product design specialists,"excel, communication"
general application,management
e-commerce intern,management
general admin,"excel, communication"
customer service,"excel, communication, management"
front end developer,"excel, communication"
service floor staff,communication
social media creative content creator,
product manager - network solutions,"communication, management"
service engineer,
sales associate (johor bahru),communication
quality auditor/industrial process engineer 质检/工业流程工程师,"communication, management"
customer service support (it),communication
retail area manager,"excel, communication, management"
"senior executive, accounting (based in penang)","excel, management"
finance trainee,"excel, management"
sales and marketing (miri),"excel, communication"
r&d managers (food ingredients/food science & technology) seremban/nilai/sepang,"excel, communication, management"
product manager,"excel, communication"
it manager,"sql, excel, communication, management, aws, azure"
front end developer,"java, excel, communication, management"
inventory clerk,"excel, data analysis, communication, management"
admin officer,"excel, communication, management"
housekeeping assistant,
senior hr admin executive,"excel, communication, management"
head - compliance,"excel, communication, aws"
production supervisor,"communication, management"
"executive, enterprise risk management (erm)","excel, communication, management"
[immediate hiring] account executive (food & beverage),excel
junior billing analyst,excel
sales support coordinator,"excel, communication"
executive - supply chain management,"python, excel, communication, management"
indoor sales coordinator,"excel, communication, management"
occupational safety & health coordinator,communication
planner,"excel, communication, management"
legal counsel,"excel, communication, management, aws"
business development executive (basic+commission),"excel, communication"
commis i,
accounts payable coordinator,communication
intern – chemist,excel
maintenance/facilities operator,"excel, communication"
csr senior lead auditor,"excel, communication, management"
talent acquisition executive (hybrid),"excel, statistics, communication, management"
architect / assistant architect,
account assistant cum admin executive,"sql, excel, communication, management"
admin executive - crm,"excel, statistics, communication"
outdoor sales representative,excel
architect / assistant architect,
admin cum purchasing assistant,"excel, management"
front office receptionist,"excel, management"
sales executive,"excel, communication"
sr. product engineer,"data analysis, communication, management, project management"
sap ba,
trading sales,"communication, management"
sales engineer - industrial gases (id: 684162),"communication, management"
account executive,"sql, excel"
hr recruitment executive,"excel, data analysis, communication, management"
head of merchandising,"excel, communication, management"
technical operator,management
accounts & admin executive,"excel, communication, management"
contract manager,"communication, management"
junior quantity surveyor,management
"supervisor, repair & replacement (kulai, johor)",management
product manager (marketing),"excel, communication, management"
"executive / assistant, corporate affairs","communication, management"
"manager, learning & development (hr)",
company secretary (senior executive / executive),
"supervisor, project & work order (yong peng, johor)",
general manager,"excel, communication, management"
internship student,communication
assistant key account manager (super/hyper),excel
"manager, internal audit - investigations",communication
business development manager,"excel, communication, management"
react native developer,"java, management"
graphic designer,communication
audit associate / semi-senior / senior,
project manager (sewerage work),"excel, communication, management, project management"
facility coordinator (seri manjung),"communication, management"
videographer & video editor,management
regional development manager (central),
lead implementation engineer,"excel, communication"
sr. engineer - injection molding,
purchasing assistant,"excel, communication"
mechanic,"excel, communication"
export sales executive,management
